Rêgul. solaire;DATE & TIME;T1[C];T2[C];T3[C];T4[C];T5[C];T6[C];Tds[C];V'[l/min];P[kW];Qday[kWh];Qyear[kWh];Qsum[kWh];R1[%];R2[%];R3[%];H1[%];H2[%]
10;2017-05-17 00:00;13;36;67;21;24;Err;Err;0;0,0;0;833;833;100;1;0;0;0
10;2017-05-17 00:01;13;36;67;21;24;Err;Err;0;0,0;0;833;833;100;0;0;0;0
10;2017-05-17 00:02;13;36;67;21;24;Err;Err;0;0,0;0;833;833;100;0;0;0;0
10;2017-05-17 00:03;13;36;67;21;24;Err;Err;0;0,0;0;833;833;100;0;0;0;0
10;2017-05-17 00:04;13;36;67;21;24;Err;Err;0;0,0;0;833;833;100;0;0;0;0
10;2017-05-17 00:05;13;36;67;21;24;Err;Err;0;0,0;0;833;833;100;0;0;0;0
10;2017-05-17 00:06;13;36;67;21;24;Err;Err;0;0,0;0;833;833;100;0;0;0;0
10;2017-05-17 00:07;13;36;67;21;24;Err;Err;0;0,0;0;833;833;100;0;0;0;0
10;2017-05-17 00:08;13;36;67;21;24;Err;Err;0;0,0;0;833;833;100;0;0;0;0
10;2017-05-17 00:09;13;36;67;21;24;Err;Err;0;0,0;0;833;833;100;0;0;0;0
10;2017-05-17 00:10;13;36;67;21;24;Err;Err;0;0,0;0;833;833;100;0;0;0;0
10;2017-05-17 00:11;13;35;67;21;24;Err;Err;0;0,0;0;833;833;100;0;0;0;0
10;2017-05-17 00:12;13;35;67;21;24;Err;Err;0;0,0;0;833;833;100;0;0;0;0
10;2017-05-17 00:13;13;35;67;21;24;Err;Err;0;0,0;0;833;833;100;0;0;0;0
10;2017-05-17 00:14;13;35;67;21;24;Err;Err;0;0,0;0;833;833;100;0;0;0;0
10;2017-05-17 00:15;12;35;67;21;24;Err;Err;0;0,0;0;833;833;100;0;0;0;0
10;2017-05-17 00:16;12;35;67;21;23;Err;Err;0;0,0;0;833;833;100;0;0;0;0
10;2017-05-17 00:17;12;35;67;21;23;Err;Err;0;0,0;0;833;833;100;0;0;0;0
10;2017-05-17 00:18;12;35;67;21;23;Err;Err;0;0,0;0;833;833;100;0;0;0;0
10;2017-05-17 00:19;12;35;67;21;23;Err;Err;0;0,0;0;833;833;100;0;0;0;0
10;2017-05-17 00:20;12;35;67;21;23;Err;Err;0;0,0;0;833;833;100;0;0;0;0
10;2017-05-17 00:21;12;35;67;21;23;Err;Err;0;0,0;0;833;833;100;0;0;0;0
10;2017-05-17 00:22;12;35;67;21;23;Err;Err;0;0,0;0;833;833;100;0;0;0;0
10;2017-05-17 00:23;12;35;67;21;23;Err;Err;0;0,0;0;833;833;100;0;0;0;0
10;2017-05-17 00:24;12;35;67;21;23;Err;Err;0;0,0;0;833;833;100;0;0;0;0
10;2017-05-17 00:25;12;35;67;21;23;Err;Err;0;0,0;0;833;833;100;0;0;0;0
10;2017-05-17 00:26;12;35;67;21;23;Err;Err;0;0,0;0;833;833;100;0;0;0;0
10;2017-05-17 00:27;12;35;67;21;23;Err;Err;0;0,0;0;833;833;100;0;0;0;0
10;2017-05-17 00:28;12;35;67;21;23;Err;Err;0;0,0;0;833;833;100;0;0;0;0
10;2017-05-17 00:29;12;35;67;21;23;Err;Err;0;0,0;0;833;833;100;0;0;0;0
10;2017-05-17 00:30;12;35;67;21;23;Err;Err;0;0,0;0;833;833;100;0;0;0;0
10;2017-05-17 00:31;12;35;67;21;23;Err;Err;0;0,0;0;833;833;100;0;0;0;0
10;2017-05-17 00:32;12;35;67;21;23;Err;Err;0;0,0;0;833;833;100;0;0;0;0
10;2017-05-17 00:33;12;35;67;21;23;Err;Err;0;0,0;0;833;833;100;0;0;0;0
10;2017-05-17 00:34;12;34;67;21;23;Err;Err;0;0,0;0;833;833;100;0;0;0;0
10;2017-05-17 00:35;12;34;67;21;23;Err;Err;0;0,0;0;833;833;100;0;0;0;0
10;2017-05-17 00:36;12;34;67;21;23;Err;Err;0;0,0;0;833;833;100;0;0;0;0
10;2017-05-17 00:37;12;34;67;21;23;Err;Err;0;0,0;0;833;833;100;0;0;0;0
10;2017-05-17 00:38;12;34;67;21;23;Err;Err;0;0,0;0;833;833;100;0;0;0;0
10;2017-05-17 00:39;12;34;67;21;23;Err;Err;0;0,0;0;833;833;100;0;0;0;0
10;2017-05-17 00:40;12;34;67;21;23;Err;Err;0;0,0;0;833;833;100;0;0;0;0
10;2017-05-17 00:41;12;34;67;21;23;Err;Err;0;0,0;0;833;833;100;0;0;0;0
10;2017-05-17 00:42;11;34;67;21;23;Err;Err;0;0,0;0;833;833;100;0;0;0;0
10;2017-05-17 00:43;11;34;67;21;23;Err;Err;0;0,0;0;833;833;100;0;0;0;0
10;2017-05-17 00:44;11;34;67;21;23;Err;Err;0;0,0;0;833;833;100;0;0;0;0
10;2017-05-17 00:45;11;34;67;21;23;Err;Err;0;0,0;0;833;833;100;0;0;0;0
10;2017-05-17 00:46;11;34;67;21;23;Err;Err;0;0,0;0;833;833;100;0;0;0;0
10;2017-05-17 00:47;11;34;67;21;23;Err;Err;0;0,0;0;833;833;100;0;0;0;0
10;2017-05-17 00:48;11;34;67;21;23;Err;Err;0;0,0;0;833;833;100;0;0;0;0
10;2017-05-17 00:49;11;34;67;21;23;Err;Err;0;0,0;0;833;833;100;0;0;0;0
10;2017-05-17 00:50;11;34;67;21;23;Err;Err;0;0,0;0;833;833;100;0;0;0;0
10;2017-05-17 00:51;11;34;67;21;23;Err;Err;0;0,0;0;833;833;100;0;0;0;0
10;2017-05-17 00:52;11;34;67;21;23;Err;Err;0;0,0;0;833;833;100;0;0;0;0
10;2017-05-17 00:53;11;34;67;21;23;Err;Err;0;0,0;0;833;833;100;0;0;0;0
10;2017-05-17 00:54;11;34;67;21;23;Err;Err;0;0,0;0;833;833;100;0;0;0;0
10;2017-05-17 00:55;11;34;67;21;23;Err;Err;0;0,0;0;833;833;100;0;0;0;0
10;2017-05-17 00:56;11;34;67;21;23;Err;Err;0;0,0;0;833;833;100;0;0;0;0
10;2017-05-17 00:57;11;34;67;21;23;Err;Err;0;0,0;0;833;833;100;0;0;0;0
10;2017-05-17 00:58;11;34;67;21;23;Err;Err;0;0,0;0;833;833;100;0;0;0;0
10;2017-05-17 00:59;11;34;67;21;23;Err;Err;0;0,0;0;833;833;100;0;0;0;0
10;2017-05-17 01:00;11;34;67;21;23;Err;Err;0;0,0;0;833;833;100;0;0;0;0
10;2017-05-17 01:01;11;34;67;21;23;Err;Err;0;0,0;0;833;833;100;0;0;0;0
10;2017-05-17 01:02;11;33;67;21;23;Err;Err;0;0,0;0;833;833;100;0;0;0;0
10;2017-05-17 01:03;11;33;67;21;23;Err;Err;0;0,0;0;833;833;100;0;0;0;0
10;2017-05-17 01:04;11;33;67;21;23;Err;Err;0;0,0;0;833;833;100;0;0;0;0
10;2017-05-17 01:05;11;33;67;21;23;Err;Err;0;0,0;0;833;833;100;0;0;0;0
10;2017-05-17 01:06;11;33;67;21;23;Err;Err;0;0,0;0;833;833;100;0;0;0;0
10;2017-05-17 01:07;11;33;67;21;23;Err;Err;0;0,0;0;833;833;100;0;0;0;0
10;2017-05-17 01:08;11;33;67;21;23;Err;Err;0;0,0;0;833;833;100;0;0;0;0
10;2017-05-17 01:09;11;33;67;21;23;Err;Err;0;0,0;0;833;833;100;0;0;0;0
10;2017-05-17 01:10;11;33;67;21;23;Err;Err;0;0,0;0;833;833;100;0;0;0;0
10;2017-05-17 01:11;11;33;67;21;23;Err;Err;0;0,0;0;833;833;100;0;0;0;0
10;2017-05-17 01:12;11;33;67;21;23;Err;Err;0;0,0;0;833;833;100;0;0;0;0
10;2017-05-17 01:13;11;33;67;21;23;Err;Err;0;0,0;0;833;833;100;0;0;0;0
10;2017-05-17 01:14;11;33;67;21;23;Err;Err;0;0,0;0;833;833;100;0;0;0;0
10;2017-05-17 01:15;10;33;67;21;23;Err;Err;0;0,0;0;833;833;100;0;0;0;0
10;2017-05-17 01:16;10;33;67;21;23;Err;Err;0;0,0;0;833;833;100;0;0;0;0
10;2017-05-17 01:17;10;33;67;21;23;Err;Err;0;0,0;0;833;833;100;0;0;0;0
10;2017-05-17 01:18;10;33;67;21;23;Err;Err;0;0,0;0;833;833;100;0;0;0;0
10;2017-05-17 01:19;10;33;67;21;23;Err;Err;0;0,0;0;833;833;100;0;0;0;0
10;2017-05-17 01:20;10;33;67;21;23;Err;Err;0;0,0;0;833;833;100;0;0;0;0
10;2017-05-17 01:21;10;33;67;21;23;Err;Err;0;0,0;0;833;833;100;0;0;0;0
10;2017-05-17 01:22;10;33;67;21;23;Err;Err;0;0,0;0;833;833;100;0;0;0;0
10;2017-05-17 01:23;10;33;67;21;23;Err;Err;0;0,0;0;833;833;100;0;0;0;0
10;2017-05-17 01:24;10;33;67;21;23;Err;Err;0;0,0;0;833;833;100;0;0;0;0
10;2017-05-17 01:25;10;33;67;21;23;Err;Err;0;0,0;0;833;833;100;0;0;0;0
10;2017-05-17 01:26;10;33;67;21;23;Err;Err;0;0,0;0;833;833;100;0;0;0;0
10;2017-05-17 01:27;10;33;67;21;23;Err;Err;0;0,0;0;833;833;100;0;0;0;0
10;2017-05-17 01:28;10;33;67;21;23;Err;Err;0;0,0;0;833;833;100;0;0;0;0
10;2017-05-17 01:29;10;33;67;21;23;Err;Err;0;0,0;0;833;833;100;0;0;0;0
10;2017-05-17 01:30;10;33;67;21;23;Err;Err;0;0,0;0;833;833;100;0;0;0;0
10;2017-05-17 01:31;10;32;67;21;23;Err;Err;0;0,0;0;833;833;100;0;0;0;0
10;2017-05-17 01:32;10;32;67;21;23;Err;Err;0;0,0;0;833;833;100;0;0;0;0
10;2017-05-17 01:33;10;32;67;21;23;Err;Err;0;0,0;0;833;833;100;0;0;0;0
10;2017-05-17 01:34;10;32;67;21;23;Err;Err;0;0,0;0;833;833;100;0;0;0;0
10;2017-05-17 01:35;10;32;67;21;23;Err;Err;0;0,0;0;833;833;100;0;0;0;0
10;2017-05-17 01:36;10;32;67;21;23;Err;Err;0;0,0;0;833;833;100;0;0;0;0
10;2017-05-17 01:37;10;32;67;21;23;Err;Err;0;0,0;0;833;833;100;0;0;0;0
10;2017-05-17 01:38;10;32;67;21;23;Err;Err;0;0,0;0;833;833;100;0;0;0;0
10;2017-05-17 01:39;10;32;67;21;23;Err;Err;0;0,0;0;833;833;100;0;0;0;0
10;2017-05-17 01:40;10;32;67;21;23;Err;Err;0;0,0;0;833;833;100;0;0;0;0
10;2017-05-17 01:41;10;32;67;21;23;Err;Err;0;0,0;0;833;833;100;0;0;0;0
10;2017-05-17 01:42;10;32;67;21;23;Err;Err;0;0,0;0;833;833;100;0;0;0;0
10;2017-05-17 01:43;10;32;67;21;23;Err;Err;0;0,0;0;833;833;100;0;0;0;0
10;2017-05-17 01:44;10;32;67;21;24;Err;Err;0;0,0;0;833;833;100;0;0;0;0
10;2017-05-17 01:45;10;32;67;21;23;Err;Err;0;0,0;0;833;833;100;0;0;0;0
10;2017-05-17 01:46;10;32;67;21;23;Err;Err;0;0,0;0;833;833;100;0;0;0;0
