Rêgul. solaire;DATE & TIME;T1[C];T2[C];T3[C];T4[C];T5[C];T6[C];Tds[C];V'[l/min];P[kW];Qday[kWh];Qyear[kWh];Qsum[kWh];R1[%];R2[%];R3[%];H1[%];H2[%]
10;2017-05-05 00:00;3;19;22;14;17;Err;Err;0;0,0;0;415;415;100;0;0;0;0
10;2017-05-05 00:01;3;19;22;14;17;Err;Err;0;0,0;0;415;415;100;0;0;0;0
10;2017-05-05 00:02;3;19;22;14;17;Err;Err;0;0,0;0;415;415;100;0;0;0;0
10;2017-05-05 00:03;3;19;22;14;17;Err;Err;0;0,0;0;415;415;100;0;0;0;0
10;2017-05-05 00:04;3;19;22;14;17;Err;Err;0;0,0;0;415;415;100;0;0;0;0
10;2017-05-05 00:05;3;19;22;14;17;Err;Err;0;0,0;0;415;415;100;0;0;0;0
10;2017-05-05 00:06;3;19;22;14;17;Err;Err;0;0,0;0;415;415;100;0;0;0;0
10;2017-05-05 00:07;3;19;22;14;17;Err;Err;0;0,0;0;415;415;100;0;0;0;0
10;2017-05-05 00:08;3;19;22;14;17;Err;Err;0;0,0;0;415;415;100;0;0;0;0
10;2017-05-05 00:09;3;19;22;14;17;Err;Err;0;0,0;0;415;415;100;0;0;0;0
10;2017-05-05 00:10;3;19;22;14;17;Err;Err;0;0,0;0;415;415;100;0;0;0;0
10;2017-05-05 00:11;3;19;22;14;17;Err;Err;0;0,0;0;415;415;100;0;0;0;0
10;2017-05-05 00:12;3;19;22;14;17;Err;Err;0;0,0;0;415;415;100;0;0;0;0
10;2017-05-05 00:13;3;19;22;14;17;Err;Err;0;0,0;0;415;415;100;0;0;0;0
10;2017-05-05 00:14;3;19;22;14;17;Err;Err;0;0,0;0;415;415;100;0;0;0;0
10;2017-05-05 00:15;3;19;22;14;17;Err;Err;0;0,0;0;415;415;100;0;0;0;0
10;2017-05-05 00:16;3;19;22;14;17;Err;Err;0;0,0;0;415;415;100;0;0;0;0
10;2017-05-05 00:17;3;19;22;14;17;Err;Err;0;0,0;0;415;415;100;0;0;0;0
10;2017-05-05 00:18;3;19;22;14;17;Err;Err;0;0,0;0;415;415;100;0;0;0;0
10;2017-05-05 00:19;3;19;22;14;17;Err;Err;0;0,0;0;415;415;100;0;0;0;0
10;2017-05-05 00:20;3;19;22;14;17;Err;Err;0;0,0;0;415;415;100;0;0;0;0
10;2017-05-05 00:21;3;19;22;14;17;Err;Err;0;0,0;0;415;415;100;0;0;0;0
10;2017-05-05 00:22;3;19;22;14;17;Err;Err;0;0,0;0;415;415;100;0;0;0;0
10;2017-05-05 00:23;3;19;22;14;17;Err;Err;0;0,0;0;415;415;100;0;0;0;0
10;2017-05-05 00:24;3;19;22;14;17;Err;Err;0;0,0;0;415;415;100;0;0;0;0
10;2017-05-05 00:25;3;19;22;14;17;Err;Err;0;0,0;0;415;415;100;0;0;0;0
10;2017-05-05 00:26;3;19;22;14;17;Err;Err;0;0,0;0;415;415;100;0;0;0;0
10;2017-05-05 00:27;3;19;22;14;17;Err;Err;0;0,0;0;415;415;100;0;0;0;0
10;2017-05-05 00:28;3;19;22;14;17;Err;Err;0;0,0;0;415;415;100;0;0;0;0
10;2017-05-05 00:29;3;19;22;14;17;Err;Err;0;0,0;0;415;415;100;0;0;0;0
10;2017-05-05 00:30;3;19;22;14;17;Err;Err;0;0,0;0;415;415;100;0;0;0;0
10;2017-05-05 00:31;3;18;22;14;17;Err;Err;0;0,0;0;415;415;100;0;0;0;0
10;2017-05-05 00:32;3;18;22;14;17;Err;Err;0;0,0;0;415;415;100;0;0;0;0
10;2017-05-05 00:33;3;18;22;14;17;Err;Err;0;0,0;0;415;415;100;0;0;0;0
10;2017-05-05 00:34;2;18;22;14;17;Err;Err;0;0,0;0;415;415;100;0;0;0;0
10;2017-05-05 00:35;2;18;22;14;17;Err;Err;0;0,0;0;415;415;100;0;0;0;0
10;2017-05-05 00:36;2;18;22;14;17;Err;Err;0;0,0;0;415;415;100;0;0;0;0
10;2017-05-05 00:37;2;18;22;14;17;Err;Err;0;0,0;0;415;415;100;0;0;0;0
10;2017-05-05 00:38;2;18;22;14;17;Err;Err;0;0,0;0;415;415;100;0;0;0;0
10;2017-05-05 00:39;2;18;22;14;17;Err;Err;0;0,0;0;415;415;100;0;0;0;0
10;2017-05-05 00:40;2;18;22;14;17;Err;Err;0;0,0;0;415;415;100;0;0;0;0
10;2017-05-05 00:41;2;18;22;14;17;Err;Err;0;0,0;0;415;415;100;0;0;0;0
10;2017-05-05 00:42;2;18;22;14;17;Err;Err;0;0,0;0;415;415;100;0;0;0;0
10;2017-05-05 00:43;2;18;22;14;17;Err;Err;0;0,0;0;415;415;100;0;0;0;0
10;2017-05-05 00:44;2;18;22;14;17;Err;Err;0;0,0;0;415;415;100;0;0;0;0
10;2017-05-05 00:45;2;18;22;14;17;Err;Err;0;0,0;0;415;415;100;0;0;0;0
10;2017-05-05 00:46;2;18;22;14;17;Err;Err;0;0,0;0;415;415;100;0;0;0;0
10;2017-05-05 00:47;2;18;22;14;17;Err;Err;0;0,0;0;415;415;100;0;0;0;0
10;2017-05-05 00:48;2;18;22;14;17;Err;Err;0;0,0;0;415;415;100;0;0;0;0
10;2017-05-05 00:49;2;18;22;14;17;Err;Err;0;0,0;0;415;415;100;0;0;0;0
10;2017-05-05 00:50;2;18;22;14;17;Err;Err;0;0,0;0;415;415;100;0;0;0;0
10;2017-05-05 00:51;2;18;22;14;17;Err;Err;0;0,0;0;415;415;100;0;0;0;0
10;2017-05-05 00:52;2;18;22;14;17;Err;Err;0;0,0;0;415;415;100;0;0;0;0
10;2017-05-05 00:53;2;18;22;14;17;Err;Err;0;0,0;0;415;415;100;0;0;0;0
10;2017-05-05 00:54;2;18;22;14;17;Err;Err;0;0,0;0;415;415;100;0;0;0;0
10;2017-05-05 00:55;2;18;22;14;17;Err;Err;0;0,0;0;415;415;100;0;0;0;0
10;2017-05-05 00:56;2;18;22;14;17;Err;Err;0;0,0;0;415;415;100;0;0;0;0
10;2017-05-05 00:57;2;18;22;14;17;Err;Err;0;0,0;0;415;415;100;0;0;0;0
10;2017-05-05 00:58;2;18;22;14;17;Err;Err;0;0,0;0;415;415;100;0;0;0;0
10;2017-05-05 00:59;2;18;22;14;17;Err;Err;0;0,0;0;415;415;100;0;0;0;0
10;2017-05-05 01:00;2;18;22;14;17;Err;Err;0;0,0;0;415;415;100;0;0;0;0
10;2017-05-05 01:01;2;18;22;14;17;Err;Err;0;0,0;0;415;415;100;0;0;0;0
10;2017-05-05 01:02;2;18;22;14;17;Err;Err;0;0,0;0;415;415;100;0;0;0;0
10;2017-05-05 01:03;2;18;22;14;17;Err;Err;0;0,0;0;415;415;100;0;0;0;0
10;2017-05-05 01:04;2;18;22;14;17;Err;Err;0;0,0;0;415;415;100;0;0;0;0
10;2017-05-05 01:05;2;18;22;14;17;Err;Err;0;0,0;0;415;415;100;0;0;0;0
10;2017-05-05 01:06;2;18;22;14;17;Err;Err;0;0,0;0;415;415;100;0;0;0;0
10;2017-05-05 01:07;2;18;22;14;17;Err;Err;0;0,0;0;415;415;100;0;0;0;0
10;2017-05-05 01:08;2;18;22;14;17;Err;Err;0;0,0;0;415;415;100;0;0;0;0
10;2017-05-05 01:09;2;18;22;14;17;Err;Err;0;0,0;0;415;415;100;0;0;0;0
10;2017-05-05 01:10;2;18;22;14;17;Err;Err;0;0,0;0;415;415;100;0;0;0;0
10;2017-05-05 01:11;2;18;22;14;17;Err;Err;0;0,0;0;415;415;100;0;0;0;0
10;2017-05-05 01:12;2;18;22;14;17;Err;Err;0;0,0;0;415;415;100;0;0;0;0
10;2017-05-05 01:13;2;18;22;14;17;Err;Err;0;0,0;0;415;415;100;0;0;0;0
10;2017-05-05 01:14;2;18;22;14;17;Err;Err;0;0,0;0;415;415;100;0;0;0;0
10;2017-05-05 01:15;2;18;22;14;17;Err;Err;0;0,0;0;415;415;100;0;0;0;0
10;2017-05-05 01:16;2;18;22;14;17;Err;Err;0;0,0;0;415;415;100;0;0;0;0
10;2017-05-05 01:17;2;18;22;14;17;Err;Err;0;0,0;0;415;415;100;0;0;0;0
10;2017-05-05 01:18;2;18;22;14;17;Err;Err;0;0,0;0;415;415;100;0;0;0;0
10;2017-05-05 01:19;2;18;22;14;17;Err;Err;0;0,0;0;415;415;100;0;0;0;0
10;2017-05-05 01:20;1;18;22;14;17;Err;Err;0;0,0;0;415;415;100;0;0;0;0
10;2017-05-05 01:21;1;18;22;14;17;Err;Err;0;0,0;0;415;415;100;0;0;0;0
10;2017-05-05 01:22;1;18;22;14;17;Err;Err;0;0,0;0;415;415;100;0;0;0;0
10;2017-05-05 01:23;1;18;22;14;16;Err;Err;0;0,0;0;415;415;100;0;0;0;0
10;2017-05-05 01:24;1;18;22;14;16;Err;Err;0;0,0;0;415;415;100;0;0;0;0
10;2017-05-05 01:25;1;18;22;14;16;Err;Err;0;0,0;0;415;415;100;0;0;0;0
10;2017-05-05 01:26;1;18;22;14;16;Err;Err;0;0,0;0;415;415;100;0;0;0;0
10;2017-05-05 01:27;1;18;22;14;16;Err;Err;0;0,0;0;415;415;100;0;0;0;0
10;2017-05-05 01:28;1;18;22;14;16;Err;Err;0;0,0;0;415;415;100;0;0;0;0
10;2017-05-05 01:29;1;18;22;14;16;Err;Err;0;0,0;0;415;415;100;0;0;0;0
10;2017-05-05 01:30;1;18;22;14;16;Err;Err;0;0,0;0;415;415;100;0;0;0;0
10;2017-05-05 01:31;1;18;22;14;16;Err;Err;0;0,0;0;415;415;100;0;0;0;0
10;2017-05-05 01:32;1;18;22;14;16;Err;Err;0;0,0;0;415;415;100;0;0;0;0
10;2017-05-05 01:33;1;18;22;14;16;Err;Err;0;0,0;0;415;415;100;0;0;0;0
10;2017-05-05 01:34;1;18;22;14;16;Err;Err;0;0,0;0;415;415;100;0;0;0;0
10;2017-05-05 01:35;1;18;22;14;16;Err;Err;0;0,0;0;415;415;100;0;0;0;0
10;2017-05-05 01:36;1;18;22;14;16;Err;Err;0;0,0;0;415;415;100;0;0;0;0
10;2017-05-05 01:37;1;18;22;14;16;Err;Err;0;0,0;0;415;415;100;0;0;0;0
10;2017-05-05 01:38;1;18;22;14;16;Err;Err;0;0,0;0;415;415;100;0;0;0;0
10;2017-05-05 01:39;1;18;22;14;16;Err;Err;0;0,0;0;415;415;100;0;0;0;0
