Rêgul. solaire;DATE & TIME;T1[C];T2[C];T3[C];T4[C];T5[C];T6[C];Tds[C];V'[l/min];P[kW];Qday[kWh];Qyear[kWh];Qsum[kWh];R1[%];R2[%];R3[%];H1[%];H2[%]
10;2017-05-06 00:00;9;24;26;18;20;Err;Err;0;0,0;0;470;470;100;1;0;0;0
10;2017-05-06 00:01;9;24;26;18;20;Err;Err;0;0,0;0;470;470;100;0;0;0;0
10;2017-05-06 00:02;9;24;26;18;20;Err;Err;0;0,0;0;470;470;100;0;0;0;0
10;2017-05-06 00:03;9;24;26;18;20;Err;Err;0;0,0;0;470;470;100;0;0;0;0
10;2017-05-06 00:04;9;24;26;18;20;Err;Err;0;0,0;0;470;470;100;0;0;0;0
10;2017-05-06 00:05;9;24;26;18;20;Err;Err;0;0,0;0;470;470;100;0;0;0;0
10;2017-05-06 00:06;9;24;26;18;20;Err;Err;0;0,0;0;470;470;100;0;0;0;0
10;2017-05-06 00:07;9;24;26;18;20;Err;Err;0;0,0;0;470;470;100;0;0;0;0
10;2017-05-06 00:08;9;24;26;18;20;Err;Err;0;0,0;0;470;470;100;0;0;0;0
10;2017-05-06 00:09;9;24;26;18;19;Err;Err;0;0,0;0;470;470;100;0;0;0;0
10;2017-05-06 00:10;9;24;26;18;19;Err;Err;0;0,0;0;470;470;100;0;0;0;0
10;2017-05-06 00:11;9;24;26;18;20;Err;Err;0;0,0;0;470;470;100;0;0;0;0
10;2017-05-06 00:12;9;24;26;18;20;Err;Err;0;0,0;0;470;470;100;0;0;0;0
10;2017-05-06 00:13;9;24;26;18;20;Err;Err;0;0,0;0;470;470;100;0;0;0;0
10;2017-05-06 00:14;9;24;26;18;20;Err;Err;0;0,0;0;470;470;100;0;0;0;0
10;2017-05-06 00:15;9;24;26;18;20;Err;Err;0;0,0;0;470;470;100;0;0;0;0
10;2017-05-06 00:16;9;24;26;18;20;Err;Err;0;0,0;0;470;470;100;0;0;0;0
10;2017-05-06 00:17;9;24;26;18;20;Err;Err;0;0,0;0;470;470;100;0;0;0;0
10;2017-05-06 00:18;9;24;26;18;20;Err;Err;0;0,0;0;470;470;100;0;0;0;0
10;2017-05-06 00:19;9;24;26;18;20;Err;Err;0;0,0;0;470;470;100;0;0;0;0
10;2017-05-06 00:20;9;24;26;18;20;Err;Err;0;0,0;0;470;470;100;0;0;0;0
10;2017-05-06 00:21;9;24;26;18;20;Err;Err;0;0,0;0;470;470;100;0;0;0;0
10;2017-05-06 00:22;9;24;26;18;20;Err;Err;0;0,0;0;470;470;100;0;0;0;0
10;2017-05-06 00:23;9;24;26;18;20;Err;Err;0;0,0;0;470;470;100;0;0;0;0
10;2017-05-06 00:24;9;24;26;18;20;Err;Err;0;0,0;0;470;470;100;0;0;0;0
10;2017-05-06 00:25;9;24;26;18;20;Err;Err;0;0,0;0;470;470;100;0;0;0;0
10;2017-05-06 00:26;9;24;26;18;20;Err;Err;0;0,0;0;470;470;100;0;0;0;0
10;2017-05-06 00:27;9;24;26;18;20;Err;Err;0;0,0;0;470;470;100;0;0;0;0
10;2017-05-06 00:28;9;24;26;18;20;Err;Err;0;0,0;0;470;470;100;0;0;0;0
10;2017-05-06 00:29;9;24;26;18;20;Err;Err;0;0,0;0;470;470;100;0;0;0;0
10;2017-05-06 00:30;9;24;26;18;20;Err;Err;0;0,0;0;470;470;100;0;0;0;0
10;2017-05-06 00:31;9;24;26;18;20;Err;Err;0;0,0;0;470;470;100;0;0;0;0
10;2017-05-06 00:32;9;24;26;18;20;Err;Err;0;0,0;0;470;470;100;0;0;0;0
10;2017-05-06 00:33;9;24;26;18;20;Err;Err;0;0,0;0;470;470;100;0;0;0;0
10;2017-05-06 00:34;9;24;26;17;20;Err;Err;0;0,0;0;470;470;100;0;0;0;0
10;2017-05-06 00:35;9;24;26;17;19;Err;Err;0;0,0;0;470;470;100;0;0;0;0
10;2017-05-06 00:36;9;24;26;17;19;Err;Err;0;0,0;0;470;470;100;0;0;0;0
10;2017-05-06 00:37;9;24;26;17;20;Err;Err;0;0,0;0;470;470;100;0;0;0;0
10;2017-05-06 00:38;9;24;26;17;20;Err;Err;0;0,0;0;470;470;100;0;0;0;0
10;2017-05-06 00:39;9;24;26;17;20;Err;Err;0;0,0;0;470;470;100;0;0;0;0
10;2017-05-06 00:40;9;24;26;17;20;Err;Err;0;0,0;0;470;470;100;0;0;0;0
10;2017-05-06 00:41;9;24;26;17;20;Err;Err;0;0,0;0;470;470;100;0;0;0;0
10;2017-05-06 00:42;9;24;26;17;20;Err;Err;0;0,0;0;470;470;100;0;0;0;0
10;2017-05-06 00:43;9;24;26;17;20;Err;Err;0;0,0;0;470;470;100;0;0;0;0
10;2017-05-06 00:44;9;24;26;17;20;Err;Err;0;0,0;0;470;470;100;0;0;0;0
10;2017-05-06 00:45;9;24;26;17;20;Err;Err;0;0,0;0;470;470;100;0;0;0;0
10;2017-05-06 00:46;9;24;26;17;19;Err;Err;0;0,0;0;470;470;100;0;0;0;0
10;2017-05-06 00:47;9;24;26;17;19;Err;Err;0;0,0;0;470;470;100;0;0;0;0
10;2017-05-06 00:48;9;24;26;17;19;Err;Err;0;0,0;0;470;470;100;0;0;0;0
10;2017-05-06 00:49;9;24;26;17;19;Err;Err;0;0,0;0;470;470;100;0;0;0;0
10;2017-05-06 00:50;9;24;26;17;19;Err;Err;0;0,0;0;470;470;100;0;0;0;0
10;2017-05-06 00:51;9;24;26;17;19;Err;Err;0;0,0;0;470;470;100;0;0;0;0
10;2017-05-06 00:52;9;24;26;17;19;Err;Err;0;0,0;0;470;470;100;0;0;0;0
10;2017-05-06 00:53;9;24;26;17;19;Err;Err;0;0,0;0;470;470;100;0;0;0;0
10;2017-05-06 00:54;8;24;26;17;19;Err;Err;0;0,0;0;470;470;100;0;0;0;0
10;2017-05-06 00:55;8;24;26;17;19;Err;Err;0;0,0;0;470;470;100;0;0;0;0
10;2017-05-06 00:56;8;24;26;17;19;Err;Err;0;0,0;0;470;470;100;0;0;0;0
10;2017-05-06 00:57;8;24;26;17;19;Err;Err;0;0,0;0;470;470;100;0;0;0;0
10;2017-05-06 00:58;8;24;26;17;19;Err;Err;0;0,0;0;470;470;100;0;0;0;0
10;2017-05-06 00:59;8;24;26;17;19;Err;Err;0;0,0;0;470;470;100;0;0;0;0
10;2017-05-06 01:00;8;24;26;17;19;Err;Err;0;0,0;0;470;470;100;0;0;0;0
10;2017-05-06 01:01;8;24;26;17;19;Err;Err;0;0,0;0;470;470;100;0;0;0;0
10;2017-05-06 01:02;8;24;26;17;19;Err;Err;0;0,0;0;470;470;100;0;0;0;0
10;2017-05-06 01:03;8;24;26;17;19;Err;Err;0;0,0;0;470;470;100;0;0;0;0
10;2017-05-06 01:04;8;24;26;17;19;Err;Err;0;0,0;0;470;470;100;0;0;0;0
10;2017-05-06 01:05;8;24;26;17;19;Err;Err;0;0,0;0;470;470;100;0;0;0;0
10;2017-05-06 01:06;8;24;26;17;19;Err;Err;0;0,0;0;470;470;100;0;0;0;0
10;2017-05-06 01:07;8;24;26;17;19;Err;Err;0;0,0;0;470;470;100;0;0;0;0
10;2017-05-06 01:08;8;24;26;17;19;Err;Err;0;0,0;0;470;470;100;0;0;0;0
10;2017-05-06 01:09;8;24;26;17;19;Err;Err;0;0,0;0;470;470;100;0;0;0;0
10;2017-05-06 01:10;8;24;26;17;19;Err;Err;0;0,0;0;470;470;100;0;0;0;0
10;2017-05-06 01:11;8;24;26;17;19;Err;Err;0;0,0;0;470;470;100;0;0;0;0
10;2017-05-06 01:12;8;24;26;17;19;Err;Err;0;0,0;0;470;470;100;0;0;0;0
10;2017-05-06 01:13;8;24;26;17;19;Err;Err;0;0,0;0;470;470;100;0;0;0;0
10;2017-05-06 01:14;8;24;26;17;19;Err;Err;0;0,0;0;470;470;100;0;0;0;0
10;2017-05-06 01:15;8;24;26;17;19;Err;Err;0;0,0;0;470;470;100;0;0;0;0
10;2017-05-06 01:16;8;24;26;17;19;Err;Err;0;0,0;0;470;470;100;0;0;0;0
10;2017-05-06 01:17;8;24;26;17;19;Err;Err;0;0,0;0;470;470;100;0;0;0;0
10;2017-05-06 01:18;8;24;26;17;18;Err;Err;0;0,0;0;470;470;100;0;0;0;0
10;2017-05-06 01:19;8;24;25;17;18;Err;Err;0;0,0;0;470;470;100;0;0;0;0
10;2017-05-06 01:20;8;24;26;17;18;Err;Err;0;0,0;0;470;470;100;0;0;0;0
10;2017-05-06 01:21;8;24;26;17;18;Err;Err;0;0,0;0;470;470;100;0;0;0;0
10;2017-05-06 01:22;8;24;25;17;19;Err;Err;0;0,0;0;470;470;100;0;0;0;0
10;2017-05-06 01:23;8;24;26;17;19;Err;Err;0;0,0;0;470;470;100;0;0;0;0
10;2017-05-06 01:24;8;24;25;17;19;Err;Err;0;0,0;0;470;470;100;0;0;0;0
10;2017-05-06 01:25;8;24;25;17;19;Err;Err;0;0,0;0;470;470;100;0;0;0;0
10;2017-05-06 01:26;8;24;25;17;19;Err;Err;0;0,0;0;470;470;100;0;0;0;0
10;2017-05-06 01:27;8;24;25;17;19;Err;Err;0;0,0;0;470;470;100;0;0;0;0
10;2017-05-06 01:28;8;24;25;17;19;Err;Err;0;0,0;0;470;470;100;0;0;0;0
10;2017-05-06 01:29;8;24;25;17;19;Err;Err;0;0,0;0;470;470;100;0;0;0;0
10;2017-05-06 01:30;8;24;25;17;19;Err;Err;0;0,0;0;470;470;100;0;0;0;0
10;2017-05-06 01:31;8;24;25;17;19;Err;Err;0;0,0;0;470;470;100;0;0;0;0
10;2017-05-06 01:32;8;24;25;17;19;Err;Err;0;0,0;0;470;470;100;0;0;0;0
10;2017-05-06 01:33;8;24;25;17;19;Err;Err;0;0,0;0;470;470;100;0;0;0;0
