Rêgul. solaire;DATE & TIME;T1[C];T2[C];T3[C];T4[C];T5[C];T6[C];Tds[C];V'[l/min];P[kW];Qday[kWh];Qyear[kWh];Qsum[kWh];R1[%];R2[%];R3[%];H1[%];H2[%]
10;2017-05-09 00:00;5;26;27;18;21;Err;Err;0;0,0;0;581;581;100;1;0;0;0
10;2017-05-09 00:01;5;26;27;18;21;Err;Err;0;0,0;0;581;581;100;0;0;0;0
10;2017-05-09 00:02;5;26;27;18;21;Err;Err;0;0,0;0;581;581;100;0;0;0;0
10;2017-05-09 00:03;4;26;27;18;21;Err;Err;0;0,0;0;581;581;100;0;0;0;0
10;2017-05-09 00:04;4;26;27;18;21;Err;Err;0;0,0;0;581;581;100;0;0;0;0
10;2017-05-09 00:05;4;26;27;18;21;Err;Err;0;0,0;0;581;581;100;0;0;0;0
10;2017-05-09 00:06;4;26;27;18;21;Err;Err;0;0,0;0;581;581;100;0;0;0;0
10;2017-05-09 00:07;4;26;27;18;21;Err;Err;0;0,0;0;581;581;100;0;0;0;0
10;2017-05-09 00:08;4;26;27;18;21;Err;Err;0;0,0;0;581;581;100;0;0;0;0
10;2017-05-09 00:09;4;26;27;18;21;Err;Err;0;0,0;0;581;581;100;0;0;0;0
10;2017-05-09 00:10;4;26;27;18;21;Err;Err;0;0,0;0;581;581;100;0;0;0;0
10;2017-05-09 00:11;4;26;27;18;21;Err;Err;0;0,0;0;581;581;100;0;0;0;0
10;2017-05-09 00:12;4;26;27;18;21;Err;Err;0;0,0;0;581;581;100;0;0;0;0
10;2017-05-09 00:13;4;26;27;18;21;Err;Err;0;0,0;0;581;581;100;0;0;0;0
10;2017-05-09 00:14;4;26;27;18;21;Err;Err;0;0,0;0;581;581;100;0;0;0;0
10;2017-05-09 00:15;4;26;27;18;21;Err;Err;0;0,0;0;581;581;100;0;0;0;0
10;2017-05-09 00:16;4;26;27;18;21;Err;Err;0;0,0;0;581;581;100;0;0;0;0
10;2017-05-09 00:17;4;26;27;18;21;Err;Err;0;0,0;0;581;581;100;0;0;0;0
10;2017-05-09 00:18;4;26;27;18;21;Err;Err;0;0,0;0;581;581;100;0;0;0;0
10;2017-05-09 00:19;4;26;27;18;21;Err;Err;0;0,0;0;581;581;100;0;0;0;0
10;2017-05-09 00:20;4;26;27;18;21;Err;Err;0;0,0;0;581;581;100;0;0;0;0
10;2017-05-09 00:21;4;26;27;18;21;Err;Err;0;0,0;0;581;581;100;0;0;0;0
10;2017-05-09 00:22;4;26;27;18;21;Err;Err;0;0,0;0;581;581;100;0;0;0;0
10;2017-05-09 00:23;4;26;27;18;21;Err;Err;0;0,0;0;581;581;100;0;0;0;0
10;2017-05-09 00:24;4;26;27;18;20;Err;Err;0;0,0;0;581;581;100;0;0;0;0
10;2017-05-09 00:25;4;26;27;18;21;Err;Err;0;0,0;0;581;581;100;0;0;0;0
10;2017-05-09 00:26;4;26;27;18;21;Err;Err;0;0,0;0;581;581;100;0;0;0;0
10;2017-05-09 00:27;4;26;27;18;21;Err;Err;0;0,0;0;581;581;100;0;0;0;0
10;2017-05-09 00:28;4;26;27;18;21;Err;Err;0;0,0;0;581;581;100;0;0;0;0
10;2017-05-09 00:29;4;26;27;18;21;Err;Err;0;0,0;0;581;581;100;0;0;0;0
10;2017-05-09 00:30;4;26;27;18;21;Err;Err;0;0,0;0;581;581;100;0;0;0;0
