Rêgul. solaire;DATE & TIME;T1[C];T2[C];T3[C];T4[C];T5[C];T6[C];Tds[C];V'[l/min];P[kW];Qday[kWh];Qyear[kWh];Qsum[kWh];R1[%];R2[%];R3[%];H1[%];H2[%]
10;2017-05-13 00:00;4;15;24;14;16;Err;Err;0;0,0;0;665;665;100;0;0;0;0
10;2017-05-13 00:01;4;15;24;14;16;Err;Err;0;0,0;0;665;665;100;0;0;0;0
10;2017-05-13 00:02;4;15;24;14;16;Err;Err;0;0,0;0;665;665;100;0;0;0;0
10;2017-05-13 00:03;4;15;24;14;16;Err;Err;0;0,0;0;665;665;100;0;0;0;0
10;2017-05-13 00:04;4;15;24;14;16;Err;Err;0;0,0;0;665;665;100;0;0;0;0
10;2017-05-13 00:05;4;15;24;14;16;Err;Err;0;0,0;0;665;665;100;0;0;0;0
10;2017-05-13 00:06;4;15;24;14;16;Err;Err;0;0,0;0;665;665;100;0;0;0;0
10;2017-05-13 00:07;4;15;24;14;16;Err;Err;0;0,0;0;665;665;100;0;0;0;0
10;2017-05-13 00:08;4;15;24;14;16;Err;Err;0;0,0;0;665;665;100;0;0;0;0
10;2017-05-13 00:09;4;15;24;14;16;Err;Err;0;0,0;0;665;665;100;0;0;0;0
10;2017-05-13 00:10;4;15;24;14;16;Err;Err;0;0,0;0;665;665;100;0;0;0;0
10;2017-05-13 00:11;4;15;24;14;16;Err;Err;0;0,0;0;665;665;100;0;0;0;0
10;2017-05-13 00:12;4;15;24;14;16;Err;Err;0;0,0;0;665;665;100;0;0;0;0
10;2017-05-13 00:13;4;15;24;14;16;Err;Err;0;0,0;0;665;665;100;0;0;0;0
10;2017-05-13 00:14;4;15;24;14;16;Err;Err;0;0,0;0;665;665;100;0;0;0;0
10;2017-05-13 00:15;4;15;24;14;16;Err;Err;0;0,0;0;665;665;100;0;0;0;0
10;2017-05-13 00:16;4;15;24;14;16;Err;Err;0;0,0;0;665;665;100;0;0;0;0
10;2017-05-13 00:17;4;15;24;14;16;Err;Err;0;0,0;0;665;665;100;0;0;0;0
10;2017-05-13 00:18;4;15;24;14;16;Err;Err;0;0,0;0;665;665;100;0;0;0;0
10;2017-05-13 00:19;4;15;24;14;16;Err;Err;0;0,0;0;665;665;100;0;0;0;0
10;2017-05-13 00:20;4;15;24;14;16;Err;Err;0;0,0;0;665;665;100;0;0;0;0
10;2017-05-13 00:21;4;15;24;14;16;Err;Err;0;0,0;0;665;665;100;0;0;0;0
10;2017-05-13 00:22;4;15;24;14;16;Err;Err;0;0,0;0;665;665;100;0;0;0;0
10;2017-05-13 00:23;4;15;24;14;16;Err;Err;0;0,0;0;665;665;100;0;0;0;0
10;2017-05-13 00:24;4;15;24;14;16;Err;Err;0;0,0;0;665;665;100;0;0;0;0
10;2017-05-13 00:25;4;15;24;14;16;Err;Err;0;0,0;0;665;665;100;0;0;0;0
10;2017-05-13 00:26;4;15;24;14;16;Err;Err;0;0,0;0;665;665;100;0;0;0;0
10;2017-05-13 00:27;4;15;24;14;16;Err;Err;0;0,0;0;665;665;100;0;0;0;0
10;2017-05-13 00:28;4;15;24;14;16;Err;Err;0;0,0;0;665;665;100;0;0;0;0
10;2017-05-13 00:29;4;15;24;14;16;Err;Err;0;0,0;0;665;665;100;0;0;0;0
10;2017-05-13 00:30;4;15;24;14;16;Err;Err;0;0,0;0;665;665;100;0;0;0;0
10;2017-05-13 00:31;4;15;24;14;16;Err;Err;0;0,0;0;665;665;100;0;0;0;0
10;2017-05-13 00:32;4;15;24;14;16;Err;Err;0;0,0;0;665;665;100;0;0;0;0
10;2017-05-13 00:33;4;15;24;14;16;Err;Err;0;0,0;0;665;665;100;0;0;0;0
10;2017-05-13 00:34;4;15;24;14;16;Err;Err;0;0,0;0;665;665;100;0;0;0;0
10;2017-05-13 00:35;4;15;24;14;16;Err;Err;0;0,0;0;665;665;100;0;0;0;0
10;2017-05-13 00:36;4;15;24;14;16;Err;Err;0;0,0;0;665;665;100;0;0;0;0
10;2017-05-13 00:37;3;15;24;14;16;Err;Err;0;0,0;0;665;665;100;0;0;0;0
10;2017-05-13 00:38;3;15;24;14;16;Err;Err;0;0,0;0;665;665;100;0;0;0;0
10;2017-05-13 00:39;3;15;24;14;16;Err;Err;0;0,0;0;665;665;100;0;0;0;0
10;2017-05-13 00:40;3;15;24;14;16;Err;Err;0;0,0;0;665;665;100;0;0;0;0
10;2017-05-13 00:41;3;15;24;14;16;Err;Err;0;0,0;0;665;665;100;0;0;0;0
10;2017-05-13 00:42;3;15;24;14;16;Err;Err;0;0,0;0;665;665;100;0;0;0;0
10;2017-05-13 00:43;3;15;24;14;16;Err;Err;0;0,0;0;665;665;100;0;0;0;0
10;2017-05-13 00:44;3;15;24;14;16;Err;Err;0;0,0;0;665;665;100;0;0;0;0
10;2017-05-13 00:45;3;15;24;14;16;Err;Err;0;0,0;0;665;665;100;0;0;0;0
10;2017-05-13 00:46;3;15;24;14;16;Err;Err;0;0,0;0;665;665;100;0;0;0;0
10;2017-05-13 00:47;3;15;24;14;16;Err;Err;0;0,0;0;665;665;100;0;0;0;0
10;2017-05-13 00:48;3;15;24;14;16;Err;Err;0;0,0;0;665;665;100;0;0;0;0
10;2017-05-13 00:49;3;15;24;14;16;Err;Err;0;0,0;0;665;665;100;0;0;0;0
10;2017-05-13 00:50;3;15;24;14;16;Err;Err;0;0,0;0;665;665;100;0;0;0;0
10;2017-05-13 00:51;3;15;24;14;16;Err;Err;0;0,0;0;665;665;100;0;0;0;0
10;2017-05-13 00:52;3;15;24;14;16;Err;Err;0;0,0;0;665;665;100;0;0;0;0
10;2017-05-13 00:53;3;15;24;14;16;Err;Err;0;0,0;0;665;665;100;0;0;0;0
10;2017-05-13 00:54;3;15;24;14;16;Err;Err;0;0,0;0;665;665;100;0;0;0;0
10;2017-05-13 00:55;3;15;24;14;16;Err;Err;0;0,0;0;665;665;100;0;0;0;0
10;2017-05-13 00:56;3;15;24;14;16;Err;Err;0;0,0;0;665;665;100;0;0;0;0
10;2017-05-13 00:57;3;15;24;14;16;Err;Err;0;0,0;0;665;665;100;0;0;0;0
10;2017-05-13 00:58;3;15;24;14;16;Err;Err;0;0,0;0;665;665;100;0;0;0;0
10;2017-05-13 00:59;3;15;24;14;16;Err;Err;0;0,0;0;665;665;100;0;0;0;0
10;2017-05-13 01:00;3;15;24;14;16;Err;Err;0;0,0;0;665;665;100;0;0;0;0
10;2017-05-13 01:01;3;15;24;14;16;Err;Err;0;0,0;0;665;665;100;0;0;0;0
10;2017-05-13 01:02;3;15;24;14;16;Err;Err;0;0,0;0;665;665;100;0;0;0;0
10;2017-05-13 01:03;3;15;24;14;16;Err;Err;0;0,0;0;665;665;100;0;0;0;0
