Rêgul. solaire;DATE & TIME;T1[C];T2[C];T3[C];T4[C];T5[C];T6[C];Tds[C];V'[l/min];P[kW];Qday[kWh];Qyear[kWh];Qsum[kWh];R1[%];R2[%];R3[%];H1[%];H2[%]
10;2017-04-22 17:19;56;33;60;25;37;Err;Err;0;0,0;0;0;0;100;82;100;100;0
10;2017-04-22 17:20;54;31;61;26;38;Err;Err;0;0,0;0;0;0;100;100;100;100;0
10;2017-04-22 17:21;54;31;61;26;38;Err;Err;0;0,0;0;0;0;100;100;100;100;0
10;2017-04-22 17:22;54;32;61;26;38;Err;Err;0;0,0;0;0;0;100;100;100;100;0
10;2017-04-22 17:23;54;32;61;27;39;Err;Err;0;0,0;0;0;0;100;100;100;100;0
10;2017-04-22 17:24;54;32;61;27;39;Err;Err;0;0,0;0;0;0;100;100;100;100;0
10;2017-04-22 17:25;54;33;61;27;39;Err;Err;0;0,0;0;0;0;100;100;100;100;0
10;2017-04-22 17:26;54;33;61;27;39;Err;Err;0;0,0;0;0;0;100;100;100;100;0
10;2017-04-22 17:27;54;34;61;27;39;Err;Err;0;0,0;0;0;0;100;100;100;100;0
10;2017-04-22 17:28;54;34;61;27;39;Err;Err;0;0,0;0;0;0;100;100;100;100;0
10;2017-04-22 17:29;54;34;61;26;38;Err;Err;0;0,0;0;0;0;100;100;100;100;0
10;2017-04-22 17:30;54;35;60;26;38;Err;Err;0;0,0;0;0;0;100;100;100;100;0
10;2017-04-22 17:31;54;34;60;26;38;Err;Err;0;0,0;0;0;0;100;1;100;100;0
10;2017-04-22 17:32;53;34;60;26;39;Err;Err;0;0,0;0;0;0;100;0;100;100;0
10;2017-04-22 17:33;53;34;60;26;39;Err;Err;0;0,0;0;0;0;100;0;100;100;0
10;2017-04-22 17:34;53;35;60;26;39;Err;Err;0;0,0;0;0;0;100;0;100;100;0
10;2017-04-22 17:35;53;35;60;26;39;Err;Err;0;0,0;0;0;0;100;0;100;100;0
10;2017-04-22 17:36;53;35;59;26;39;Err;Err;0;0,0;0;0;0;100;0;100;100;0
10;2017-04-22 17:37;53;36;59;26;39;Err;Err;0;0,0;0;0;0;100;0;100;100;0
10;2017-04-22 17:38;53;36;59;26;39;Err;Err;0;0,0;0;0;0;100;0;100;100;0
10;2017-04-22 17:39;52;36;59;26;38;Err;Err;0;0,0;0;0;0;100;0;100;100;0
10;2017-04-22 17:40;52;37;59;26;38;Err;Err;0;0,0;0;0;0;100;0;100;100;0
10;2017-04-22 17:41;52;37;59;26;38;Err;Err;0;0,0;0;0;0;100;0;100;100;0
10;2017-04-22 17:42;52;37;59;26;38;Err;Err;0;0,0;0;0;0;100;0;100;100;0
10;2017-04-22 17:43;52;38;59;26;38;Err;Err;0;0,0;0;0;0;100;0;100;100;0
10;2017-04-22 17:44;52;38;59;26;38;Err;Err;0;0,0;0;0;0;100;0;100;100;0
10;2017-04-22 17:45;52;38;59;26;38;Err;Err;0;0,0;0;0;0;100;0;100;100;0
10;2017-04-22 17:46;52;38;59;26;38;Err;Err;0;0,0;0;0;0;100;0;100;100;0
10;2017-04-22 17:47;52;39;59;26;38;Err;Err;0;0,0;0;0;0;100;0;100;100;0
10;2017-04-22 17:48;52;39;58;26;38;Err;Err;0;0,0;0;0;0;100;0;100;100;0
10;2017-04-22 17:49;52;39;58;26;38;Err;Err;0;0,0;0;0;0;100;0;100;100;0
10;2017-04-22 17:50;52;39;58;26;38;Err;Err;0;0,0;0;0;0;100;0;100;100;0
10;2017-04-22 17:51;52;40;58;26;38;Err;Err;0;0,0;0;0;0;100;0;100;100;0
10;2017-04-22 17:52;52;40;58;26;38;Err;Err;0;0,0;0;0;0;100;0;100;100;0
10;2017-04-22 17:53;52;40;58;26;38;Err;Err;0;0,0;0;0;0;100;0;100;100;0
10;2017-04-22 17:54;52;40;58;26;38;Err;Err;0;0,0;0;0;0;100;0;100;100;0
10;2017-04-22 17:55;52;41;58;26;38;Err;Err;0;0,0;0;0;0;100;0;100;100;0
10;2017-04-22 17:56;52;41;58;26;38;Err;Err;0;0,0;0;0;0;100;0;100;100;0
10;2017-04-22 17:57;52;41;58;26;38;Err;Err;0;0,0;0;0;0;100;0;100;100;0
10;2017-04-22 17:58;52;41;58;26;38;Err;Err;0;0,0;0;0;0;100;0;100;100;0
10;2017-04-22 17:59;52;41;58;26;38;Err;Err;0;0,0;0;0;0;100;0;100;100;0
10;2017-04-22 18:00;52;42;58;26;38;Err;Err;0;0,0;0;0;0;100;0;100;100;0
10;2017-04-22 18:01;52;42;58;26;38;Err;Err;0;0,0;0;0;0;100;0;100;100;0
10;2017-04-22 18:02;52;42;57;26;38;Err;Err;0;0,0;0;0;0;100;0;100;100;0
10;2017-04-22 18:03;52;42;57;26;37;Err;Err;0;0,0;0;0;0;100;0;100;100;0
10;2017-04-22 18:04;52;42;57;26;37;Err;Err;0;0,0;0;0;0;100;0;100;100;0
10;2017-04-22 18:05;52;42;57;26;37;Err;Err;0;0,0;0;0;0;100;0;100;100;0
10;2017-04-22 18:06;52;43;57;26;37;Err;Err;0;0,0;0;0;0;100;0;100;100;0
10;2017-04-22 18:07;52;43;57;26;37;Err;Err;0;0,0;0;0;0;100;0;100;100;0
10;2017-04-22 18:08;52;43;57;26;37;Err;Err;0;0,0;0;0;0;100;0;100;100;0
10;2017-04-22 18:09;51;43;57;26;37;Err;Err;0;0,0;0;0;0;100;0;100;100;0
10;2017-04-22 18:10;51;43;57;26;37;Err;Err;0;0,0;0;0;0;100;0;100;100;0
10;2017-04-22 18:11;51;43;57;26;37;Err;Err;0;0,0;0;0;0;100;0;100;100;0
