Rêgul. solaire;DATE & TIME;T1[C];T2[C];T3[C];T4[C];T5[C];T6[C];Tds[C];V'[l/min];P[kW];Qday[kWh];Qyear[kWh];Qsum[kWh];R1[%];R2[%];R3[%];H1[%];H2[%]
10;2017-04-24 00:00;9;34;68;22;23;Err;Err;0;0,0;0;51;51;100;1;0;0;0
10;2017-04-24 00:01;9;34;68;22;23;Err;Err;0;0,0;0;51;51;100;0;0;0;0
10;2017-04-24 00:02;9;34;68;22;23;Err;Err;0;0,0;0;51;51;100;0;0;0;0
10;2017-04-24 00:03;9;34;68;22;23;Err;Err;0;0,0;0;51;51;100;0;0;0;0
10;2017-04-24 00:04;9;34;68;22;23;Err;Err;0;0,0;0;51;51;100;0;0;0;0
10;2017-04-24 00:05;9;34;68;22;23;Err;Err;0;0,0;0;51;51;100;0;0;0;0
10;2017-04-24 00:06;9;34;68;22;23;Err;Err;0;0,0;0;51;51;100;0;0;0;0
10;2017-04-24 00:07;9;34;68;22;23;Err;Err;0;0,0;0;51;51;100;0;0;0;0
10;2017-04-24 00:08;9;34;68;22;23;Err;Err;0;0,0;0;51;51;100;0;0;0;0
10;2017-04-24 00:09;9;34;68;22;24;Err;Err;0;0,0;0;51;51;100;0;0;0;0
10;2017-04-24 00:10;9;34;68;22;24;Err;Err;0;0,0;0;51;51;100;0;0;0;0
10;2017-04-24 00:11;9;34;68;22;24;Err;Err;0;0,0;0;51;51;100;0;0;0;0
10;2017-04-24 00:12;9;34;68;22;24;Err;Err;0;0,0;0;51;51;100;0;0;0;0
10;2017-04-24 00:13;9;34;68;22;24;Err;Err;0;0,0;0;51;51;100;0;0;0;0
10;2017-04-24 00:14;9;34;68;22;24;Err;Err;0;0,0;0;51;51;100;0;0;0;0
10;2017-04-24 00:15;9;34;68;22;24;Err;Err;0;0,0;0;51;51;100;0;0;0;0
10;2017-04-24 00:16;9;34;68;22;24;Err;Err;0;0,0;0;51;51;100;0;0;0;0
10;2017-04-24 00:17;9;34;68;22;24;Err;Err;0;0,0;0;51;51;100;0;0;0;0
10;2017-04-24 00:18;9;34;68;22;24;Err;Err;0;0,0;0;51;51;100;0;0;0;0
